run;image;time
1;1; real 0m0.266s user 0m0.027s sys 0m0.160s
1;2; real 0m0.387s user 0m0.138s sys 0m0.246s
1;3; real 0m1.197s user 0m0.485s sys 0m0.707s
2;1; real 0m0.171s user 0m0.031s sys 0m0.136s
2;2; real 0m0.397s user 0m0.148s sys 0m0.245s
2;3; real 0m1.215s user 0m0.497s sys 0m0.716s
3;1; real 0m0.157s user 0m0.032s sys 0m0.121s
3;2; real 0m0.369s user 0m0.116s sys 0m0.247s
3;3; real 0m1.191s user 0m0.491s sys 0m0.695s
4;1; real 0m0.157s user 0m0.033s sys 0m0.122s
4;2; real 0m0.365s user 0m0.115s sys 0m0.247s
4;3; real 0m1.182s user 0m0.493s sys 0m0.671s
5;1; real 0m0.161s user 0m0.033s sys 0m0.121s
5;2; real 0m0.350s user 0m0.121s sys 0m0.227s
5;3; real 0m1.162s user 0m0.471s sys 0m0.685s
