run;image;threadsperblock;time
1;1;32;threadsPerblock=32 real 0m0.183s user 0m0.037s sys 0m0.141s
1;1;64;threadsPerblock=64 real 0m0.161s user 0m0.029s sys 0m0.130s
1;1;128;threadsPerblock=128 real 0m0.158s user 0m0.029s sys 0m0.127s
1;1;256;threadsPerblock=256 real 0m0.167s user 0m0.026s sys 0m0.136s
1;1;512;threadsPerblock=512 real 0m0.162s user 0m0.028s sys 0m0.132s
1;1;1024;threadsPerblock=1024 real 0m0.233s user 0m0.030s sys 0m0.129s
1;2;32;threadsPerblock=32 real 0m0.370s user 0m0.128s sys 0m0.236s
1;2;64;threadsPerblock=64 real 0m0.371s user 0m0.121s sys 0m0.245s
1;2;128;threadsPerblock=128 real 0m0.364s user 0m0.119s sys 0m0.240s
1;2;256;threadsPerblock=256 real 0m0.360s user 0m0.114s sys 0m0.239s
1;2;512;threadsPerblock=512 real 0m0.366s user 0m0.125s sys 0m0.235s
1;2;1024;threadsPerblock=1024 real 0m0.365s user 0m0.108s sys 0m0.251s
1;3;32;threadsPerblock=32 real 0m1.251s user 0m0.498s sys 0m0.720s
1;3;64;threadsPerblock=64 real 0m1.168s user 0m0.480s sys 0m0.684s
1;3;128;threadsPerblock=128 real 0m1.512s user 0m0.468s sys 0m0.689s
1;3;256;threadsPerblock=256 real 0m1.569s user 0m0.480s sys 0m0.723s
1;3;512;threadsPerblock=512 real 0m1.219s user 0m0.487s sys 0m0.688s
1;3;1024;threadsPerblock=1024 real 0m1.124s user 0m0.453s sys 0m0.666s
2;1;32;threadsPerblock=32 real 0m0.161s user 0m0.028s sys 0m0.127s
2;1;64;threadsPerblock=64 real 0m0.363s user 0m0.028s sys 0m0.124s
2;1;128;threadsPerblock=128 real 0m0.151s user 0m0.025s sys 0m0.125s
2;1;256;threadsPerblock=256 real 0m0.151s user 0m0.032s sys 0m0.116s
2;1;512;threadsPerblock=512 real 0m0.159s user 0m0.035s sys 0m0.118s
2;1;1024;threadsPerblock=1024 real 0m0.688s user 0m0.034s sys 0m0.118s
2;2;32;threadsPerblock=32 real 0m0.357s user 0m0.120s sys 0m0.234s
2;2;64;threadsPerblock=64 real 0m0.361s user 0m0.120s sys 0m0.234s
2;2;128;threadsPerblock=128 real 0m0.355s user 0m0.118s sys 0m0.234s
2;2;256;threadsPerblock=256 real 0m0.363s user 0m0.119s sys 0m0.230s
2;2;512;threadsPerblock=512 real 0m0.360s user 0m0.119s sys 0m0.227s
2;2;1024;threadsPerblock=1024 real 0m0.352s user 0m0.117s sys 0m0.233s
2;3;32;threadsPerblock=32 real 0m1.232s user 0m0.490s sys 0m0.708s
2;3;64;threadsPerblock=64 real 0m1.142s user 0m0.483s sys 0m0.655s
2;3;128;threadsPerblock=128 real 0m1.516s user 0m0.474s sys 0m0.680s
2;3;256;threadsPerblock=256 real 0m1.529s user 0m0.473s sys 0m0.698s
2;3;512;threadsPerblock=512 real 0m1.126s user 0m0.438s sys 0m0.681s
2;3;1024;threadsPerblock=1024 real 0m1.506s user 0m0.483s sys 0m0.673s
3;1;32;threadsPerblock=32 real 0m0.150s user 0m0.029s sys 0m0.119s
3;1;64;threadsPerblock=64 real 0m0.593s user 0m0.030s sys 0m0.120s
3;1;128;threadsPerblock=128 real 0m0.507s user 0m0.032s sys 0m0.126s
3;1;256;threadsPerblock=256 real 0m0.159s user 0m0.031s sys 0m0.126s
3;1;512;threadsPerblock=512 real 0m0.150s user 0m0.025s sys 0m0.124s
3;1;1024;threadsPerblock=1024 real 0m0.157s user 0m0.034s sys 0m0.123s
3;2;32;threadsPerblock=32 real 0m0.354s user 0m0.125s sys 0m0.227s
3;2;64;threadsPerblock=64 real 0m0.356s user 0m0.119s sys 0m0.230s
3;2;128;threadsPerblock=128 real 0m0.352s user 0m0.122s sys 0m0.221s
3;2;256;threadsPerblock=256 real 0m0.342s user 0m0.118s sys 0m0.222s
3;2;512;threadsPerblock=512 real 0m0.358s user 0m0.115s sys 0m0.234s
3;2;1024;threadsPerblock=1024 real 0m0.344s user 0m0.113s sys 0m0.224s
3;3;32;threadsPerblock=32 real 0m1.172s user 0m0.492s sys 0m0.669s
3;3;64;threadsPerblock=64 real 0m1.611s user 0m0.542s sys 0m0.684s
3;3;128;threadsPerblock=128 real 0m1.219s user 0m0.456s sys 0m0.712s
3;3;256;threadsPerblock=256 real 0m1.112s user 0m0.448s sys 0m0.662s
3;3;512;threadsPerblock=512 real 0m1.496s user 0m0.477s sys 0m0.666s
3;3;1024;threadsPerblock=1024 real 0m1.896s user 0m0.496s sys 0m0.662s
4;1;32;threadsPerblock=32 real 0m0.160s user 0m0.038s sys 0m0.119s
4;1;64;threadsPerblock=64 real 0m0.367s user 0m0.029s sys 0m0.123s
4;1;128;threadsPerblock=128 real 0m0.158s user 0m0.033s sys 0m0.122s
4;1;256;threadsPerblock=256 real 0m0.148s user 0m0.027s sys 0m0.118s
4;1;512;threadsPerblock=512 real 0m0.154s user 0m0.030s sys 0m0.123s
4;1;1024;threadsPerblock=1024 real 0m0.151s user 0m0.034s sys 0m0.115s
4;2;32;threadsPerblock=32 real 0m0.357s user 0m0.116s sys 0m0.232s
4;2;64;threadsPerblock=64 real 0m0.355s user 0m0.113s sys 0m0.228s
4;2;128;threadsPerblock=128 real 0m0.336s user 0m0.112s sys 0m0.219s
4;2;256;threadsPerblock=256 real 0m0.352s user 0m0.116s sys 0m0.234s
4;2;512;threadsPerblock=512 real 0m0.362s user 0m0.125s sys 0m0.230s
4;2;1024;threadsPerblock=1024 real 0m0.357s user 0m0.116s sys 0m0.235s
4;3;32;threadsPerblock=32 real 0m1.185s user 0m0.510s sys 0m0.672s
4;3;64;threadsPerblock=64 real 0m1.536s user 0m0.489s sys 0m0.672s
4;3;128;threadsPerblock=128 real 0m1.187s user 0m0.467s sys 0m0.681s
4;3;256;threadsPerblock=256 real 0m1.146s user 0m0.457s sys 0m0.682s
4;3;512;threadsPerblock=512 real 0m1.936s user 0m0.484s sys 0m0.709s
4;3;1024;threadsPerblock=1024 real 0m1.563s user 0m0.481s sys 0m0.707s
5;1;32;threadsPerblock=32 real 0m0.169s user 0m0.032s sys 0m0.130s
5;1;64;threadsPerblock=64 real 0m0.160s user 0m0.030s sys 0m0.122s
5;1;128;threadsPerblock=128 real 0m0.154s user 0m0.033s sys 0m0.119s
5;1;256;threadsPerblock=256 real 0m0.154s user 0m0.027s sys 0m0.125s
5;1;512;threadsPerblock=512 real 0m0.151s user 0m0.027s sys 0m0.120s
5;1;1024;threadsPerblock=1024 real 0m0.155s user 0m0.032s sys 0m0.119s
5;2;32;threadsPerblock=32 real 0m0.351s user 0m0.114s sys 0m0.234s
5;2;64;threadsPerblock=64 real 0m0.345s user 0m0.122s sys 0m0.222s
5;2;128;threadsPerblock=128 real 0m0.417s user 0m0.122s sys 0m0.226s
5;2;256;threadsPerblock=256 real 0m0.361s user 0m0.125s sys 0m0.233s
5;2;512;threadsPerblock=512 real 0m0.356s user 0m0.115s sys 0m0.235s
5;2;1024;threadsPerblock=1024 real 0m0.354s user 0m0.113s sys 0m0.236s
5;3;32;threadsPerblock=32 real 0m1.213s user 0m0.474s sys 0m0.716s
5;3;64;threadsPerblock=64 real 0m1.232s user 0m0.479s sys 0m0.697s
5;3;128;threadsPerblock=128 real 0m1.131s user 0m0.457s sys 0m0.673s
5;3;256;threadsPerblock=256 real 0m1.721s user 0m0.457s sys 0m0.701s
5;3;512;threadsPerblock=512 real 0m1.545s user 0m0.462s sys 0m0.702s
5;3;1024;threadsPerblock=1024 real 0m1.143s user 0m0.468s sys 0m0.671s
