run;image;threadsperblock;time
1;1;3; real 0m0.966s user 0m0.198s sys 0m0.152s
1;1;6; real 0m1.094s user 0m0.304s sys 0m0.402s
1;1;12; real 0m1.150s user 0m0.385s sys 0m0.646s
1;2;3; real 0m1.341s user 0m0.716s sys 0m0.678s
1;2;6; real 0m1.906s user 0m1.252s sys 0m2.306s
1;2;12; real 0m2.528s user 0m1.549s sys 0m4.006s
1;3;3; real 0m3.066s user 0m3.021s sys 0m3.052s
1;3;6; real 0m5.688s user 0m5.754s sys 0m10.502s
1;3;12; real 0m8.330s user 0m7.471s sys 0m17.212s
2;1;3; real 0m0.946s user 0m0.166s sys 0m0.149s
2;1;6; real 0m1.089s user 0m0.244s sys 0m0.490s
2;1;12; real 0m1.167s user 0m0.351s sys 0m0.721s
2;2;3; real 0m1.354s user 0m0.678s sys 0m0.733s
2;2;6; real 0m1.918s user 0m1.347s sys 0m2.244s
2;2;12; real 0m2.584s user 0m1.734s sys 0m3.926s
2;3;3; real 0m3.063s user 0m3.059s sys 0m3.030s
2;3;6; real 0m5.880s user 0m5.955s sys 0m10.911s
2;3;12; real 0m8.310s user 0m7.301s sys 0m17.341s
3;1;3; real 0m0.942s user 0m0.143s sys 0m0.176s
3;1;6; real 0m1.052s user 0m0.278s sys 0m0.425s
3;1;12; real 0m1.202s user 0m0.307s sys 0m0.744s
3;2;3; real 0m1.386s user 0m0.753s sys 0m0.655s
3;2;6; real 0m1.926s user 0m1.290s sys 0m2.335s
3;2;12; real 0m2.560s user 0m1.595s sys 0m4.059s
3;3;3; real 0m3.061s user 0m2.967s sys 0m3.107s
3;3;6; real 0m5.575s user 0m5.509s sys 0m10.352s
3;3;12; real 0m8.300s user 0m7.367s sys 0m17.091s
4;1;3; real 0m0.958s user 0m0.164s sys 0m0.164s
4;1;6; real 0m1.057s user 0m0.300s sys 0m0.413s
4;1;12; real 0m1.171s user 0m0.332s sys 0m0.746s
4;2;3; real 0m1.354s user 0m0.726s sys 0m0.684s
4;2;6; real 0m1.939s user 0m1.281s sys 0m2.289s
4;2;12; real 0m2.541s user 0m1.590s sys 0m3.981s
4;3;3; real 0m3.052s user 0m2.952s sys 0m3.082s
4;3;6; real 0m5.609s user 0m5.500s sys 0m10.474s
4;3;12; real 0m8.408s user 0m7.519s sys 0m17.391s
5;1;3; real 0m0.978s user 0m0.132s sys 0m0.184s
5;1;6; real 0m1.112s user 0m0.261s sys 0m0.441s
5;1;12; real 0m1.186s user 0m0.308s sys 0m0.758s
5;2;3; real 0m1.364s user 0m0.647s sys 0m0.760s
5;2;6; real 0m2.012s user 0m1.325s sys 0m2.455s
5;2;12; real 0m2.537s user 0m1.671s sys 0m3.896s
5;3;3; real 0m3.071s user 0m3.026s sys 0m3.029s
5;3;6; real 0m5.633s user 0m5.544s sys 0m10.420s
5;3;12; real 0m8.348s user 0m7.372s sys 0m17.256s
