run;image;threadsperblock;time
1;1;3; real 0m0,889s user 0m0,421s sys 0m0,315s
1;1;6; real 0m0,786s user 0m0,739s sys 0m0,429s
1;1;12; real 0m1,365s user 0m1,489s sys 0m0,864s
1;2;3; real 0m1,506s user 0m1,954s sys 0m0,558s
1;2;6; real 0m2,691s user 0m2,689s sys 0m1,076s
1;2;12; real 0m7,079s user 0m7,932s sys 0m3,473s
1;3;3;[efberrio01-VirtualBox:02185] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv Process received signal EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv [efberrio01-VirtualBox:02185] Signal: Segmentation fault (11) [efberrio01-VirtualBox:02185] Signal code: Address not mapped (1) [efberrio01-VirtualBox:02185] Failing at address: (nil) [efberrio01-VirtualBox:02185] [ 0] /lib/x86_64-linux-gnu/libc.so.6(+0x3ef20)[0x7f0bafbfbf20] [efberrio01-VirtualBox:02185] [ 1] EdgeDetectionMPI(+0xe9a1)[0x55bf324199a1] [efberrio01-VirtualBox:02185] [ 2] EdgeDetectionMPI(+0xf4d0)[0x55bf3241a4d0] [efberrio01-VirtualBox:02185] [ 3] EdgeDetectionMPI(+0xc9d5)[0x55bf324179d5] [efberrio01-VirtualBox:02185] [ 4] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0xe7)[0x7f0bafbdeb97] [efberrio01-VirtualBox:02185] [ 5] EdgeDetectionMPI(+0xca5a)[0x55bf32417a5a] [efberrio01-VirtualBox:02185] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv End of error message EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv -------------------------------------------------------------------------- mpirun noticed that process rank 1 with PID 0 on node efberrio01-VirtualBox exited on signal 9 (Killed). -------------------------------------------------------------------------- real 0m4,949s user 0m2,774s sys 0m1,301s
1;3;6;[efberrio01-VirtualBox:2201] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv An error occurred in MPI_Recv [efberrio01-VirtualBox:2201] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv reported by process [2912419841,3] [efberrio01-VirtualBox:2201] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv on communicator MPI_COMM_WORLD [efberrio01-VirtualBox:2201] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERR_BUFFER: invalid buffer pointer [efberrio01-VirtualBox:2201] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERRORS_ARE_FATAL (processes in this communicator will now abort, [efberrio01-VirtualBox:2201] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv and potentially your MPI job) real 0m2,785s user 0m2,200s sys 0m1,241s
1;3;12;[efberrio01-VirtualBox:2225] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv An error occurred in MPI_Recv [efberrio01-VirtualBox:2225] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv reported by process [2912944129,3] [efberrio01-VirtualBox:2225] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv on communicator MPI_COMM_WORLD [efberrio01-VirtualBox:2225] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERR_BUFFER: invalid buffer pointer [efberrio01-VirtualBox:2225] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERRORS_ARE_FATAL (processes in this communicator will now abort, [efberrio01-VirtualBox:2225] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv and potentially your MPI job) real 0m5,206s user 0m5,297s sys 0m1,997s
2;1;3; real 0m1,190s user 0m0,416s sys 0m0,541s
