run;image;time
1;1; real 0m0.282s user 0m0.057s sys 0m0.215s
1;2; real 0m0.447s user 0m0.150s sys 0m0.286s
1;3; real 0m1.174s user 0m0.441s sys 0m0.729s
2;1; real 0m0.258s user 0m0.058s sys 0m0.195s
2;2; real 0m0.440s user 0m0.135s sys 0m0.297s
2;3; real 0m1.184s user 0m0.449s sys 0m0.727s
3;1; real 0m0.285s user 0m0.057s sys 0m0.216s
3;2; real 0m0.447s user 0m0.138s sys 0m0.300s
3;3; real 0m1.253s user 0m0.477s sys 0m0.746s
4;1; real 0m0.259s user 0m0.058s sys 0m0.200s
4;2; real 0m0.439s user 0m0.127s sys 0m0.303s
4;3; real 0m1.561s user 0m0.472s sys 0m0.738s
5;1; real 0m0.286s user 0m0.059s sys 0m0.209s
5;2; real 0m0.442s user 0m0.131s sys 0m0.308s
5;3; real 0m1.197s user 0m0.448s sys 0m0.719s
