run;image;threadsperblock;time
1;1;32;threadsPerblock=32 real 0m0.265s user 0m0.056s sys 0m0.204s
1;1;64;threadsPerblock=64 real 0m0.266s user 0m0.052s sys 0m0.209s
1;1;128;threadsPerblock=128 real 0m0.263s user 0m0.055s sys 0m0.204s
1;1;256;threadsPerblock=256 real 0m0.258s user 0m0.051s sys 0m0.205s
1;1;512;threadsPerblock=512 real 0m0.258s user 0m0.052s sys 0m0.205s
1;1;1024;threadsPerblock=1024 real 0m0.261s user 0m0.066s sys 0m0.193s
1;2;32;threadsPerblock=32 real 0m0.443s user 0m0.136s sys 0m0.300s
1;2;64;threadsPerblock=64 real 0m0.439s user 0m0.136s sys 0m0.297s
1;2;128;threadsPerblock=128 real 0m0.444s user 0m0.150s sys 0m0.288s
1;2;256;threadsPerblock=256 real 0m0.437s user 0m0.143s sys 0m0.287s
1;2;512;threadsPerblock=512 real 0m0.446s user 0m0.131s sys 0m0.306s
1;2;1024;threadsPerblock=1024 real 0m0.431s user 0m0.129s sys 0m0.300s
1;3;32;threadsPerblock=32 real 0m1.209s user 0m0.480s sys 0m0.726s
1;3;64;threadsPerblock=64 real 0m1.554s user 0m0.488s sys 0m0.694s
1;3;128;threadsPerblock=128 real 0m1.221s user 0m0.485s sys 0m0.691s
1;3;256;threadsPerblock=256 real 0m1.143s user 0m0.463s sys 0m0.679s
1;3;512;threadsPerblock=512 real 0m1.894s user 0m0.465s sys 0m0.703s
1;3;1024;threadsPerblock=1024 real 0m1.567s user 0m0.462s sys 0m0.723s
2;1;32;threadsPerblock=32 real 0m0.261s user 0m0.053s sys 0m0.206s
2;1;64;threadsPerblock=64 real 0m0.260s user 0m0.052s sys 0m0.203s
2;1;128;threadsPerblock=128 real 0m0.259s user 0m0.051s sys 0m0.207s
2;1;256;threadsPerblock=256 real 0m0.257s user 0m0.046s sys 0m0.209s
2;1;512;threadsPerblock=512 real 0m0.254s user 0m0.048s sys 0m0.203s
2;1;1024;threadsPerblock=1024 real 0m0.254s user 0m0.060s sys 0m0.192s
2;2;32;threadsPerblock=32 real 0m0.443s user 0m0.143s sys 0m0.297s
2;2;64;threadsPerblock=64 real 0m0.444s user 0m0.132s sys 0m0.305s
2;2;128;threadsPerblock=128 real 0m0.435s user 0m0.132s sys 0m0.299s
2;2;256;threadsPerblock=256 real 0m0.442s user 0m0.139s sys 0m0.296s
2;2;512;threadsPerblock=512 real 0m0.435s user 0m0.135s sys 0m0.295s
2;2;1024;threadsPerblock=1024 real 0m0.444s user 0m0.137s sys 0m0.302s
2;3;32;threadsPerblock=32 real 0m1.229s user 0m0.481s sys 0m0.720s
2;3;64;threadsPerblock=64 real 0m1.152s user 0m0.459s sys 0m0.679s
2;3;128;threadsPerblock=128 real 0m1.518s user 0m0.462s sys 0m0.696s
