threads;run;image;time
2;1;1; real 0m0.213s user 0m0.300s sys 0m0.020s
2;1;2; real 0m1.203s user 0m1.791s sys 0m0.114s
2;1;3; real 0m5.421s user 0m8.068s sys 0m0.510s
2;2;1; real 0m0.221s user 0m0.296s sys 0m0.017s
2;2;2; real 0m1.213s user 0m1.783s sys 0m0.127s
2;2;3; real 0m5.386s user 0m8.090s sys 0m0.445s
2;3;1; real 0m0.221s user 0m0.298s sys 0m0.022s
2;3;2; real 0m1.206s user 0m1.777s sys 0m0.121s
2;3;3; real 0m5.416s user 0m8.050s sys 0m0.499s
2;4;1; real 0m0.222s user 0m0.293s sys 0m0.020s
2;4;2; real 0m1.226s user 0m1.787s sys 0m0.108s
2;4;3; real 0m5.410s user 0m8.128s sys 0m0.467s
2;5;1; real 0m0.213s user 0m0.299s sys 0m0.019s
2;5;2; real 0m1.209s user 0m1.815s sys 0m0.106s
2;5;3; real 0m5.378s user 0m8.047s sys 0m0.479s
4;1;1; real 0m0.215s user 0m0.292s sys 0m0.020s
4;1;2; real 0m1.208s user 0m1.763s sys 0m0.121s
4;1;3; real 0m5.364s user 0m7.978s sys 0m0.500s
4;2;1; real 0m0.220s user 0m0.296s sys 0m0.018s
4;2;2; real 0m1.202s user 0m1.797s sys 0m0.114s
4;2;3; real 0m5.394s user 0m8.030s sys 0m0.491s
4;3;1; real 0m0.215s user 0m0.292s sys 0m0.029s
4;3;2; real 0m1.211s user 0m1.795s sys 0m0.112s
4;3;3; real 0m5.390s user 0m8.040s sys 0m0.468s
4;4;1; real 0m0.212s user 0m0.305s sys 0m0.012s
4;4;2; real 0m1.206s user 0m1.804s sys 0m0.114s
4;4;3; real 0m5.268s user 0m7.840s sys 0m0.486s
4;5;1; real 0m0.209s user 0m0.289s sys 0m0.018s
4;5;2; real 0m1.163s user 0m1.756s sys 0m0.099s
4;5;3; real 0m5.331s user 0m8.067s sys 0m0.452s
8;1;1; real 0m0.200s user 0m0.289s sys 0m0.021s
8;1;2; real 0m1.167s user 0m1.745s sys 0m0.108s
8;1;3; real 0m5.183s user 0m7.795s sys 0m0.433s
8;2;1; real 0m0.211s user 0m0.292s sys 0m0.014s
8;2;2; real 0m1.158s user 0m1.741s sys 0m0.106s
8;2;3; real 0m5.385s user 0m8.119s sys 0m0.436s
8;3;1; real 0m0.222s user 0m0.303s sys 0m0.019s
8;3;2; real 0m1.212s user 0m1.802s sys 0m0.120s
8;3;3; real 0m5.389s user 0m8.047s sys 0m0.487s
8;4;1; real 0m0.205s user 0m0.289s sys 0m0.023s
8;4;2; real 0m1.207s user 0m1.793s sys 0m0.116s
8;4;3; real 0m5.392s user 0m8.099s sys 0m0.492s
8;5;1; real 0m0.213s user 0m0.302s sys 0m0.019s
8;5;2; real 0m1.220s user 0m1.802s sys 0m0.118s
8;5;3; real 0m5.531s user 0m8.352s sys 0m0.500s
