threads;run;image;time
2;1;1; real 0m0.108s user 0m0.171s sys 0m0.016s
2;1;2; real 0m0.518s user 0m0.776s sys 0m0.107s
2;1;3; real 0m2.150s user 0m3.277s sys 0m0.423s
2;2;1; real 0m0.083s user 0m0.130s sys 0m0.019s
2;2;2; real 0m0.467s user 0m0.641s sys 0m0.111s
2;2;3; real 0m1.962s user 0m2.871s sys 0m0.456s
2;3;1; real 0m0.080s user 0m0.121s sys 0m0.020s
2;3;2; real 0m0.569s user 0m0.804s sys 0m0.105s
2;3;3; real 0m2.346s user 0m3.617s sys 0m0.454s
2;4;1; real 0m0.072s user 0m0.108s sys 0m0.020s
2;4;2; real 0m0.557s user 0m0.808s sys 0m0.110s
2;4;3; real 0m1.957s user 0m2.832s sys 0m0.463s
2;5;1; real 0m0.090s user 0m0.143s sys 0m0.017s
2;5;2; real 0m0.546s user 0m0.853s sys 0m0.110s
2;5;3; real 0m2.098s user 0m3.023s sys 0m0.470s
4;1;1; real 0m0.075s user 0m0.111s sys 0m0.016s
4;1;2; real 0m0.547s user 0m0.809s sys 0m0.102s
4;1;3; real 0m1.972s user 0m2.845s sys 0m0.445s
4;2;1; real 0m0.077s user 0m0.114s sys 0m0.018s
4;2;2; real 0m0.460s user 0m0.671s sys 0m0.109s
4;2;3; real 0m2.382s user 0m3.565s sys 0m0.461s
4;3;1; real 0m0.090s user 0m0.135s sys 0m0.021s
4;3;2; real 0m0.536s user 0m0.793s sys 0m0.110s
4;3;3; real 0m1.957s user 0m2.841s sys 0m0.438s
4;4;1; real 0m0.088s user 0m0.133s sys 0m0.022s
4;4;2; real 0m0.556s user 0m0.791s sys 0m0.109s
4;4;3; real 0m2.319s user 0m3.539s sys 0m0.471s
4;5;1; real 0m0.086s user 0m0.128s sys 0m0.022s
4;5;2; real 0m0.472s user 0m0.642s sys 0m0.108s
4;5;3; real 0m2.282s user 0m3.560s sys 0m0.434s
8;1;1; real 0m0.077s user 0m0.110s sys 0m0.023s
8;1;2; real 0m0.477s user 0m0.680s sys 0m0.101s
8;1;3; real 0m2.482s user 0m3.570s sys 0m0.476s
8;2;1; real 0m0.071s user 0m0.105s sys 0m0.018s
8;2;2; real 0m0.539s user 0m0.769s sys 0m0.117s
8;2;3; real 0m1.934s user 0m2.815s sys 0m0.455s
8;3;1; real 0m0.095s user 0m0.139s sys 0m0.013s
8;3;2; real 0m0.557s user 0m0.818s sys 0m0.117s
8;3;3; real 0m2.003s user 0m2.914s sys 0m0.452s
8;4;1; real 0m0.093s user 0m0.132s sys 0m0.024s
8;4;2; real 0m0.472s user 0m0.652s sys 0m0.105s
8;4;3; real 0m1.969s user 0m2.868s sys 0m0.449s
8;5;1; real 0m0.097s user 0m0.139s sys 0m0.019s
8;5;2; real 0m0.561s user 0m0.772s sys 0m0.112s
8;5;3; real 0m2.322s user 0m3.606s sys 0m0.442s
