run;image;time
1;1; real 0m0.372s user 0m0.346s sys 0m0.022s
1;2; real 0m2.272s user 0m2.111s sys 0m0.156s
1;3; real 0m10.483s user 0m9.938s sys 0m0.538s
2;1; real 0m0.408s user 0m0.374s sys 0m0.028s
2;2; real 0m2.293s user 0m2.149s sys 0m0.142s
2;3; real 0m10.458s user 0m9.912s sys 0m0.538s
3;1; real 0m0.401s user 0m0.376s sys 0m0.021s
3;2; real 0m2.282s user 0m2.127s sys 0m0.151s
3;3; real 0m10.489s user 0m9.897s sys 0m0.585s
4;1; real 0m0.402s user 0m0.377s sys 0m0.024s
4;2; real 0m2.296s user 0m2.150s sys 0m0.144s
4;3; real 0m10.408s user 0m9.833s sys 0m0.562s
5;1; real 0m0.395s user 0m0.372s sys 0m0.021s
5;2; real 0m2.291s user 0m2.151s sys 0m0.139s
5;3; real 0m10.498s user 0m9.952s sys 0m0.540s
